playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,FieldingPct,CatcherStealPct,PlayerName
ackledu01,2012,1,SEA,AL,2B,142,,3777.0,238.0,394.0,7.0,91.0,,,,,,0.989,,Dustin Ackley
alonsyo01,2012,1,SDN,NL,1B,149,,3828.0,1269.0,96.0,12.0,77.0,,,,,,0.991,,Yonder Alonso
altuvjo01,2012,1,HOU,NL,2B,147,,3681.0,257.0,410.0,11.0,83.0,,,,,,0.984,,Jose Altuve
alvarpe01,2012,1,PIT,NL,3B,145,,3819.0,73.0,264.0,27.0,23.0,,,,,,0.926,,Pedro Alvarez
andinro01,2012,1,BAL,AL,2B,108,,2700.0,183.0,286.0,13.0,66.0,,,,,,0.973,,Robert Andino
andruel01,2012,1,TEX,AL,SS,153,,3999.0,233.0,414.0,16.0,91.0,,,,,,0.976,,Elvis Andrus
aokino01,2012,1,MIL,NL,OF,133,,3276.0,231.0,8.0,3.0,2.0,,,,,,0.988,,Nori Aoki
avilaal01,2012,1,DET,AL,C,113,,2814.0,897.0,57.0,6.0,7.0,10.0,,79.0,34.0,,0.994,0.301,Alex Avila
avilemi01,2012,1,BOS,AL,SS,128,,3324.0,207.0,369.0,15.0,89.0,,,,,,0.975,,Mike Aviles
aybarer01,2012,1,LAA,AL,SS,139,,3570.0,232.0,359.0,15.0,86.0,,,,,,0.975,,Erick Aybar
barmecl01,2012,1,PIT,NL,SS,142,,3477.0,147.0,399.0,16.0,72.0,,,,,,0.972,,Clint Barmes
barneda01,2012,1,CHN,NL,2B,155,,3810.0,311.0,418.0,2.0,96.0,,,,,,0.997,,Darwin Barney
beckhgo01,2012,1,CHA,AL,2B,149,,3927.0,280.0,411.0,7.0,110.0,,,,,,0.99,,Gordon Beckham
beltbr01,2012,1,SFN,NL,1B,139,,2928.0,913.0,73.0,8.0,85.0,,,,,,0.992,,Brandon Belt
beltrad01,2012,1,TEX,AL,3B,129,,3375.0,95.0,209.0,8.0,23.0,,,,,,0.974,,Adrian Beltre
beltrca01,2012,1,SLN,NL,OF,133,,3522.0,221.0,10.0,2.0,0.0,,,,,,0.991,,Carlos Beltran
blancgr01,2012,1,SFN,NL,OF,125,,2634.0,181.0,3.0,2.0,0.0,,,,,,0.989,,Gregor Blanco
boescbr01,2012,1,DET,AL,OF,121,,2730.0,167.0,5.0,2.0,1.0,,,,,,0.989,,Brennan Boesch
bogusbr01,2012,1,HOU,NL,OF,121,,2424.0,187.0,5.0,5.0,3.0,,,,,,0.975,,Brian Bogusevic
bournmi01,2012,1,ATL,NL,OF,153,,4020.0,383.0,3.0,2.0,0.0,,,,,,0.995,,Michael Bourn
brantmi02,2012,1,CLE,AL,OF,144,,3711.0,336.0,5.0,1.0,3.0,,,,,,0.997,,Michael Brantley
braunry02,2012,1,MIL,NL,OF,151,,3954.0,276.0,6.0,6.0,1.0,,,,,,0.979,,Ryan Braun
bruceja01,2012,1,CIN,NL,OF,154,,4029.0,297.0,8.0,6.0,1.0,,,,,,0.981,,Jay Bruce
buckjo01,2012,1,MIA,NL,C,105,,2745.0,715.0,57.0,7.0,4.0,7.0,,48.0,18.0,,0.991,0.273,John Buck
cabreas01,2012,1,CLE,AL,SS,136,,3483.0,223.0,408.0,19.0,99.0,,,,,,0.971,,Asdrubal Cabrera
cabreev01,2012,1,SDN,NL,SS,111,,2745.0,140.0,315.0,16.0,34.0,,,,,,0.966,,Everth Cabrera
cabreme01,2012,1,SFN,NL,OF,112,,2940.0,198.0,7.0,4.0,3.0,,,,,,0.981,,Melky Cabrera
cabremi01,2012,1,DET,AL,3B,154,,3966.0,127.0,243.0,13.0,31.0,,,,,,0.966,,Miguel Cabrera
callaal01,2012,1,LAA,AL,3B,131,,3321.0,77.0,235.0,12.0,19.0,,,,,,0.963,,Alberto Callaspo
canoro01,2012,1,NYA,AL,2B,154,,4029.0,285.0,435.0,6.0,92.0,,,,,,0.992,,Robinson Cano
castrst01,2012,1,CHN,NL,SS,162,,4209.0,266.0,465.0,27.0,97.0,,,,,,0.964,,Starlin Castro
cespeyo01,2012,1,OAK,AL,OF,102,,2703.0,221.0,9.0,3.0,0.0,,,,,,0.987,,Yoenis Cespedes
choosh01,2012,1,CLE,AL,OF,154,,3996.0,293.0,7.0,2.0,1.0,,,,,,0.993,,Shin-Soo Choo
cozarza01,2012,1,CIN,NL,SS,138,,3492.0,204.0,349.0,14.0,68.0,,,,,,0.975,,Zack Cozart
crawfbr01,2012,1,SFN,NL,SS,139,,3303.0,195.0,394.0,18.0,74.0,,,,,,0.97,,Brandon Crawford
crispco01,2012,1,OAK,AL,OF,113,,2919.0,272.0,4.0,3.0,2.0,,,,,,0.989,,Coco Crisp
cruzne02,2012,1,TEX,AL,OF,151,,3921.0,288.0,9.0,4.0,2.0,,,,,,0.987,,Nelson Cruz
davisik02,2012,1,NYN,NL,1B,148,,3666.0,1156.0,71.0,8.0,106.0,,,,,,0.994,,Ike Davis
davisra01,2012,1,TOR,AL,OF,135,,3114.0,211.0,8.0,8.0,1.0,,,,,,0.965,,Rajai Davis
deazaal01,2012,1,CHA,AL,OF,130,,3399.0,326.0,4.0,3.0,1.0,,,,,,0.991,,Alejandro De Aza
dejesda01,2012,1,CHN,NL,OF,143,,3375.0,262.0,8.0,2.0,1.0,,,,,,0.993,,David DeJesus
denorch01,2012,1,SDN,NL,OF,118,,2205.0,140.0,4.0,1.0,0.0,,,,,,0.993,,Chris Denorfia
desmoia01,2012,1,WAS,NL,SS,128,,3417.0,171.0,306.0,15.0,65.0,,,,,,0.97,,Ian Desmond
dudalu01,2012,1,NYN,NL,OF,105,,2538.0,164.0,5.0,4.0,0.0,,,,,,0.977,,Lucas Duda
ellisaj01,2012,1,LAN,NL,C,131,,3453.0,1007.0,87.0,6.0,12.0,11.0,,74.0,36.0,,0.995,0.327,A. J. Ellis
ellisma01,2012,1,LAN,NL,2B,110,,2730.0,211.0,274.0,3.0,59.0,,,,,,0.994,,Mark Ellis
escobal02,2012,1,KCA,AL,SS,155,,4140.0,242.0,408.0,19.0,97.0,,,,,,0.972,,Alcides Escobar
escobyu01,2012,1,TOR,AL,SS,143,,3753.0,240.0,431.0,12.0,100.0,,,,,,0.982,,Yunel Escobar
espinda01,2012,1,WAS,NL,2B,126,,3210.0,192.0,329.0,6.0,67.0,,,,,,0.989,,Danny Espinosa
ethiean01,2012,1,LAN,NL,OF,147,,3795.0,238.0,3.0,3.0,1.0,,,,,,0.988,,Andre Ethier
fieldpr01,2012,1,DET,AL,1B,159,,4179.0,1256.0,105.0,11.0,113.0,,,,,,0.992,,Prince Fielder
