playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct
abadfe01,2012,1,HOU,NL,0,6,37,6,0,0,0,138.0,57,26,6,19,38,0.311,5.09,1.0,4.0,3.0,0,208.0,8.0,27,2.0,1.0,,46.0,1.65,7.43,3.72,1.17,18.27
accarje01,2012,1,CLE,AL,0,0,26,0,0,0,0,106.0,38,18,3,16,28,0.288,4.58,1.0,2.0,0.0,0,152.0,13.0,19,1.0,3.0,,35.33,1.53,7.13,4.08,0.76,18.42
aceveal01,2012,1,BOS,AL,2,10,69,0,0,0,25,252.0,80,50,11,31,75,0.254,5.36,2.0,3.0,6.0,1,361.0,55.0,51,2.0,7.0,,84.0,1.32,8.04,3.32,1.18,20.78
acostma01,2012,1,NYN,NL,1,3,45,0,0,0,1,142.0,48,34,7,25,46,0.259,6.46,1.0,2.0,3.0,0,216.0,7.0,38,1.0,2.0,,47.33,1.54,8.75,4.75,1.33,21.3
adamsmi03,2012,1,TEX,AL,5,3,61,0,0,0,1,157.0,56,19,4,17,45,0.269,3.27,1.0,2.0,3.0,0,228.0,7.0,21,0.0,0.0,,52.33,1.39,7.74,2.92,0.69,19.74
adcocna01,2012,1,KCA,AL,0,3,12,2,0,0,0,104.0,37,9,4,13,22,0.282,2.34,2.0,0.0,1.0,0,148.0,3.0,13,1.0,2.0,,34.67,1.44,5.71,3.37,1.04,14.86
affelje01,2012,1,SFN,NL,1,2,67,0,0,0,3,190.0,57,19,1,23,57,0.241,2.7,1.0,5.0,3.0,0,267.0,10.0,23,4.0,0.0,,63.33,1.26,8.1,3.27,0.14,21.35
alberma01,2012,1,BOS,AL,2,0,40,0,0,0,0,118.0,30,10,6,15,25,0.216,2.29,3.0,0.0,1.0,0,157.0,8.0,14,0.0,2.0,,39.33,1.14,5.72,3.43,1.37,15.92
alvarhe01,2012,1,TOR,AL,9,14,31,31,1,1,0,562.0,216,101,29,54,79,0.29,4.85,2.0,3.0,3.0,1,807.0,0.0,110,2.0,4.0,,187.33,1.44,3.8,2.59,1.39,9.79
anderbr04,2012,1,OAK,AL,4,2,6,6,0,0,0,105.0,29,10,1,7,25,0.225,2.57,1.0,1.0,1.0,0,137.0,0.0,11,0.0,0.0,,35.0,1.03,6.43,1.8,0.26,18.25
arredjo01,2012,1,CIN,NL,6,2,66,0,0,0,1,183.0,50,20,7,34,62,0.225,2.95,2.0,0.0,1.0,2,263.0,17.0,26,2.0,4.0,,61.0,1.38,9.15,5.02,1.03,23.57
arrieja01,2012,1,BAL,AL,3,9,24,18,0,0,0,344.0,122,79,16,35,109,0.272,6.2,3.0,4.0,5.0,0,496.0,1.0,82,3.0,4.0,,114.67,1.37,8.55,2.75,1.26,21.98
arroybr01,2012,1,CIN,NL,12,10,32,32,1,1,0,606.0,209,84,26,35,129,0.267,3.74,1.0,3.0,5.0,0,835.0,0.0,86,7.0,6.0,,202.0,1.21,5.75,1.56,1.16,15.45
atchisc01,2012,1,BOS,AL,2,1,42,0,0,0,0,154.0,42,9,2,9,36,0.223,1.58,3.0,2.0,0.0,0,200.0,7.0,10,1.0,2.0,,51.33,0.99,6.31,1.58,0.35,18.0
avilalu01,2012,1,ATL,NL,1,0,31,0,0,0,0,108.0,27,8,1,10,33,0.211,2.0,1.0,3.0,1.0,1,142.0,2.0,9,3.0,0.0,,36.0,1.03,8.25,2.5,0.25,23.24
axelrdy01,2012,1,CHA,AL,2,2,14,7,0,0,0,153.0,56,31,8,21,40,0.275,5.47,0.0,1.0,4.0,0,231.0,4.0,32,0.0,2.0,,51.0,1.51,7.06,3.71,1.41,17.32
axforjo01,2012,1,MIL,NL,5,8,75,0,0,0,35,208.0,61,36,10,39,93,0.229,4.67,2.0,10.0,2.0,0,310.0,54.0,42,1.0,2.0,,69.33,1.44,12.07,5.06,1.3,30.0
ayalalu01,2012,1,BAL,AL,5,5,66,0,0,0,1,225.0,81,22,7,14,51,0.272,2.64,3.0,2.0,4.0,0,320.0,15.0,27,2.0,2.0,,75.0,1.27,6.12,1.68,0.84,15.94
badenbu01,2012,1,TBA,AL,3,2,66,0,0,0,0,187.0,63,21,6,12,42,0.259,3.03,5.0,1.0,1.0,0,262.0,14.0,24,2.0,4.0,,62.33,1.2,6.06,1.73,0.87,16.03
baileho02,2012,1,CIN,NL,13,10,33,33,2,1,0,624.0,206,85,26,52,168,0.256,3.68,3.0,3.0,8.0,0,874.0,0.0,97,5.0,5.0,,208.0,1.24,7.27,2.25,1.12,19.22
balfogr01,2012,1,OAK,AL,3,2,75,0,0,0,24,224.0,41,21,4,28,72,0.16,2.53,2.0,2.0,1.0,0,289.0,34.0,21,0.0,3.0,,74.67,0.92,8.68,3.37,0.48,24.91
bardda01,2012,1,BOS,AL,5,6,17,10,0,0,0,178.0,60,41,9,43,38,0.271,6.22,1.0,1.0,8.0,2,277.0,2.0,42,2.0,3.0,,59.33,1.74,5.76,6.52,1.37,13.72
bassan01,2012,1,SDN,NL,2,8,24,15,1,0,1,291.0,89,51,10,39,80,0.243,4.73,3.0,5.0,1.0,1,411.0,3.0,59,2.0,2.0,,97.0,1.32,7.42,3.62,0.93,19.46
bastaan01,2012,1,PHI,NL,2,5,65,0,0,0,1,156.0,40,25,7,26,81,0.207,4.33,3.0,5.0,2.0,0,224.0,10.0,26,1.0,2.0,,52.0,1.27,14.02,4.5,1.21,36.16
batismi01,2012,1,NYN,NL,1,3,30,5,0,0,0,140.0,53,25,5,31,34,0.29,4.82,0.0,1.0,1.0,0,220.0,7.0,28,3.0,2.0,,46.67,1.8,6.56,5.98,0.96,15.45
beachbr01,2012,1,ATL,NL,5,5,13,13,1,1,0,243.0,49,18,6,29,68,0.171,2.0,1.0,4.0,1.0,0,319.0,0.0,24,1.0,2.0,,81.0,0.96,7.56,3.22,0.67,21.32
beavabl01,2012,1,SEA,AL,11,11,26,26,0,0,0,457.0,168,75,23,24,67,0.281,4.43,0.0,3.0,10.0,0,638.0,0.0,76,1.0,5.0,,152.33,1.26,3.96,1.42,1.36,10.5
beckejo02,2012,1,BOS,AL,5,11,21,21,0,0,0,382.0,131,74,16,38,94,0.266,5.23,2.0,4.0,5.0,0,547.0,0.0,75,3.0,8.0,,127.33,1.33,6.64,2.69,1.13,17.18
beckejo02,2012,2,LAN,NL,2,3,7,7,0,0,0,129.0,43,14,5,14,38,0.257,2.93,4.0,1.0,0.0,0,183.0,0.0,16,2.0,0.0,,43.0,1.33,7.95,2.93,1.05,20.77
bedarer01,2012,1,PIT,NL,7,14,24,24,0,0,0,377.0,129,70,14,56,118,0.263,5.01,2.0,1.0,3.0,1,557.0,0.0,76,5.0,2.0,,125.67,1.47,8.45,4.01,1.0,21.18
belisma01,2012,1,COL,NL,3,8,80,0,0,0,3,240.0,91,33,5,18,69,0.282,3.71,6.0,1.0,3.0,1,348.0,14.0,36,4.0,0.0,,80.0,1.36,7.76,2.02,0.56,19.83
belisro01,2012,1,LAN,NL,8,1,68,0,0,0,1,213.0,47,20,3,29,69,0.187,2.54,4.0,1.0,4.0,0,286.0,13.0,22,1.0,0.0,,71.0,1.07,8.75,3.68,0.38,24.13
bellhe01,2012,1,MIA,NL,4,5,73,0,0,0,19,191.0,70,36,5,29,59,0.281,5.09,3.0,2.0,2.0,0,286.0,41.0,38,2.0,4.0,,63.67,1.55,8.34,4.1,0.71,20.63
belowdu01,2012,1,DET,AL,2,1,27,1,0,0,0,139.0,49,20,6,8,29,0.28,3.88,0.0,1.0,1.0,1,189.0,7.0,25,2.0,3.0,,46.33,1.23,5.63,1.55,1.17,15.34
benoijo01,2012,1,DET,AL,5,3,73,0,0,0,2,213.0,59,29,14,22,84,0.228,3.68,2.0,2.0,1.0,0,288.0,18.0,31,3.0,3.0,,71.0,1.14,10.65,2.79,1.77,29.17
betanra01,2012,1,COL,NL,1,4,60,0,0,0,31,173.0,53,18,6,12,57,0.241,2.81,4.0,0.0,0.0,1,236.0,53.0,19,2.0,2.0,,57.67,1.13,8.9,1.87,0.94,24.15
billich01,2012,1,LAN,NL,10,9,25,25,0,0,0,449.0,148,59,11,45,128,0.257,3.55,2.0,5.0,5.0,0,634.0,0.0,66,6.0,3.0,,149.67,1.29,7.7,2.71,0.66,20.19
blackni01,2012,1,MIN,AL,4,9,19,19,0,0,0,296.0,143,81,23,26,42,0.34,7.39,0.0,2.0,1.0,0,456.0,0.0,81,2.0,6.0,,98.67,1.71,3.83,2.37,2.1,9.21
blacktr01,2012,2,OAK,AL,6,4,24,15,0,0,0,308.0,91,44,10,30,69,0.238,3.86,1.0,6.0,3.0,3,419.0,5.0,47,1.0,3.0,,102.67,1.18,6.05,2.63,0.88,16.47
blantjo01,2012,1,PHI,NL,8,9,21,20,2,1,0,400.0,141,68,22,18,115,0.266,4.59,2.0,4.0,3.0,0,560.0,1.0,74,6.0,3.0,,133.33,1.19,7.76,1.22,1.49,20.54
blantjo01,2012,2,LAN,NL,2,4,10,10,0,0,0,173.0,66,32,7,16,51,0.291,4.99,3.0,1.0,0.0,0,246.0,0.0,32,2.0,1.0,,57.67,1.42,7.96,2.5,1.09,20.73
blevije01,2012,1,OAK,AL,5,1,63,0,0,0,1,196.0,45,18,7,25,54,0.201,2.48,5.0,2.0,5.0,0,261.0,17.0,20,5.0,2.0,,65.33,1.07,7.44,3.44,0.96,20.69
boggsmi01,2012,1,SLN,NL,4,1,78,0,0,0,0,220.0,56,18,5,21,58,0.211,2.21,3.0,0.0,4.0,0,296.0,12.0,20,6.0,0.0,,73.33,1.05,7.12,2.58,0.61,19.59
bowdemi01,2012,2,CHN,NL,0,0,30,0,0,0,0,110.0,30,12,4,16,29,0.226,2.95,1.0,1.0,1.0,0,154.0,11.0,12,2.0,2.0,,36.67,1.25,7.12,3.93,0.98,18.83
brachbr01,2012,1,SDN,NL,2,4,67,0,0,0,0,200.0,50,28,11,33,75,0.207,3.78,7.0,4.0,2.0,0,280.0,13.0,28,1.0,3.0,,66.67,1.24,10.12,4.45,1.48,26.79
breslcr01,2012,1,ARI,NL,2,0,40,0,0,0,0,130.0,38,13,5,13,42,0.233,2.7,0.0,1.0,1.0,0,180.0,12.0,15,2.0,1.0,,43.33,1.18,8.72,2.7,1.04,23.33
brittza01,2012,1,BAL,AL,5,3,12,11,0,0,0,181.0,61,34,6,32,53,0.26,5.07,3.0,4.0,2.0,0,270.0,0.0,37,0.0,1.0,,60.33,1.54,7.91,4.77,0.9,19.63
brothre01,2012,1,COL,NL,8,2,75,0,0,0,0,203.0,63,29,5,37,83,0.251,3.86,7.0,5.0,1.0,1,295.0,10.0,33,3.0,3.0,,67.67,1.48,11.04,4.92,0.66,28.14
broxtjo01,2012,1,KCA,AL,1,2,35,0,0,0,23,107.0,36,9,1,14,25,0.273,2.27,0.0,0.0,2.0,0,151.0,32.0,11,2.0,1.0,,35.67,1.4,6.31,3.53,0.25,16.56
buchhcl01,2012,1,BOS,AL,11,8,29,29,2,1,0,568.0,187,96,25,64,129,0.263,4.56,2.0,2.0,12.0,2,802.0,0.0,104,5.0,9.0,,189.33,1.33,6.13,3.04,1.19,16.08
buehrma01,2012,1,MIA,NL,13,13,31,31,1,0,0,607.0,197,84,26,40,125,0.258,3.74,3.0,2.0,4.0,0,828.0,0.0,88,14.0,7.0,,202.33,1.17,5.56,1.78,1.16,15.1
bumgama01,2012,1,SFN,NL,16,11,32,32,2,1,0,625.0,183,78,23,49,191,0.234,3.37,6.0,3.0,7.0,2,849.0,0.0,87,7.0,4.0,,208.33,1.11,8.25,2.12,0.99,22.5
burneaj01,2012,1,PIT,NL,16,10,31,31,1,1,0,607.0,189,79,18,62,180,0.246,3.51,1.0,10.0,9.0,0,851.0,0.0,86,5.0,8.0,,202.33,1.24,8.01,2.76,0.8,21.15
burneal01,2012,1,MIN,AL,4,4,67,0,0,0,0,215.0,71,28,4,26,36,0.257,3.52,5.0,6.0,3.0,0,309.0,18.0,33,2.0,2.0,,71.67,1.35,4.52,3.26,0.5,11.65
burnese01,2012,1,WAS,NL,1,2,70,0,0,0,2,170.0,58,15,4,12,57,0.262,2.38,3.0,2.0,3.0,0,239.0,16.0,16,1.0,2.0,,56.67,1.24,9.05,1.91,0.64,23.85
burtoja01,2012,1,MIN,AL,3,2,64,0,0,0,5,186.0,41,15,5,16,55,0.186,2.18,1.0,0.0,5.0,0,245.0,12.0,21,2.0,1.0,,62.0,0.92,7.98,2.32,0.73,22.45
byrdati01,2012,1,NYN,NL,2,2,56,0,0,0,0,92.0,18,15,2,18,34,0.18,4.4,5.0,0.0,1.0,0,125.0,4.0,16,4.0,2.0,,30.67,1.17,9.98,5.28,0.59,27.2
cahiltr01,2012,1,ARI,NL,13,12,32,32,2,1,0,600.0,184,84,16,74,156,0.25,3.78,0.0,10.0,11.0,2,839.0,0.0,93,12.0,6.0,,200.0,1.29,7.02,3.33,0.72,18.59
cainma01,2012,1,SFN,NL,16,5,32,32,2,2,0,658.0,177,68,21,51,193,0.222,2.79,1.0,8.0,9.0,0,876.0,0.0,73,11.0,9.0,,219.33,1.04,7.92,2.09,0.86,22.03
