playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct,PlayerName
alvarhe01,2012,1,TOR,AL,9,14,31,31,1,1,0,562.0,216,101,29,54,79,0.29,4.85,2.0,3.0,3.0,1,807.0,0.0,110,2.0,4.0,,187.33,1.44,3.8,2.59,1.39,9.79,Henderson Alvarez
arrieja01,2012,1,BAL,AL,3,9,24,18,0,0,0,344.0,122,79,16,35,109,0.272,6.2,3.0,4.0,5.0,0,496.0,1.0,82,3.0,4.0,,114.67,1.37,8.55,2.75,1.26,21.98,Jake Arrieta
arroybr01,2012,1,CIN,NL,12,10,32,32,1,1,0,606.0,209,84,26,35,129,0.267,3.74,1.0,3.0,5.0,0,835.0,0.0,86,7.0,6.0,,202.0,1.21,5.75,1.56,1.16,15.45,Bronson Arroyo
baileho02,2012,1,CIN,NL,13,10,33,33,2,1,0,624.0,206,85,26,52,168,0.256,3.68,3.0,3.0,8.0,0,874.0,0.0,97,5.0,5.0,,208.0,1.24,7.27,2.25,1.12,19.22,Homer Bailey
beavabl01,2012,1,SEA,AL,11,11,26,26,0,0,0,457.0,168,75,23,24,67,0.281,4.43,0.0,3.0,10.0,0,638.0,0.0,76,1.0,5.0,,152.33,1.26,3.96,1.42,1.36,10.5,Blake Beavan
beckejo02,2012,1,BOS,AL,5,11,21,21,0,0,0,382.0,131,74,16,38,94,0.266,5.23,2.0,4.0,5.0,0,547.0,0.0,75,3.0,8.0,,127.33,1.33,6.64,2.69,1.13,17.18,Josh Beckett
bedarer01,2012,1,PIT,NL,7,14,24,24,0,0,0,377.0,129,70,14,56,118,0.263,5.01,2.0,1.0,3.0,1,557.0,0.0,76,5.0,2.0,,125.67,1.47,8.45,4.01,1.0,21.18,Erik Bedard
billich01,2012,1,LAN,NL,10,9,25,25,0,0,0,449.0,148,59,11,45,128,0.257,3.55,2.0,5.0,5.0,0,634.0,0.0,66,6.0,3.0,,149.67,1.29,7.7,2.71,0.66,20.19,Chad Billingsley
blantjo01,2012,1,PHI,NL,8,9,21,20,2,1,0,400.0,141,68,22,18,115,0.266,4.59,2.0,4.0,3.0,0,560.0,1.0,74,6.0,3.0,,133.33,1.19,7.76,1.22,1.49,20.54,Joe Blanton
buchhcl01,2012,1,BOS,AL,11,8,29,29,2,1,0,568.0,187,96,25,64,129,0.263,4.56,2.0,2.0,12.0,2,802.0,0.0,104,5.0,9.0,,189.33,1.33,6.13,3.04,1.19,16.08,Clay Buchholz
